"filename", "language", "Python", "JSON", "Markdown", "pip requirements", "toml", "YAML", "C++", "C", "Batch", "Shell Script", "hex", "Makefile", "Database", "Rust", "ARM", "Docker", "XML", "comment", "blank", "total"
"e:\C&C++\project\aliyun\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 7, 22
"e:\C&C++\project\aliyun\images.db", "Database", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"e:\C&C++\project\aliyun\mqtt.c", "C", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 163
"e:\C&C++\project\aliyun\server\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 2, 14, 130
"e:\C&C++\project\best.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87547, 0, 321, 87868
"e:\C&C++\project\data_detail\copy_files.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 30
"e:\C&C++\project\data_detail\get_train_txt.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 20
"e:\C&C++\project\data_detail\get_val_txt.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 19
"e:\C&C++\project\data_get\btoi.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 58
"e:\C&C++\project\data_get\imagesget.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 104
"e:\C&C++\project\data_get\imageshow.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 118
"e:\C&C++\project\data_get\serial_an.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 48
"e:\C&C++\project\data_get\test.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 56
"e:\C&C++\project\rasp\.clang-format", "YAML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\C&C++\project\rasp\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 7, 22
"e:\C&C++\project\rasp\best.pt", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87547, 0, 321, 87868
"e:\C&C++\project\rasp\client.cpp", "C++", 0, 0, 0, 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 40, 362
"e:\C&C++\project\rasp\driver.c", "C", 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71, 330
"e:\C&C++\project\rasp\imagesget.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 136
"e:\C&C++\project\sample\fire.yaml", "YAML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 9
"e:\C&C++\project\stm32\Drivers\BSP\BEEP\beep.c", "C", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 29
"e:\C&C++\project\stm32\Drivers\BSP\BEEP\beep.h", "C++", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 27, 68
"e:\C&C++\project\stm32\Drivers\BSP\DHT11\dht11.c", "C", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 50, 211
"e:\C&C++\project\stm32\Drivers\BSP\DHT11\dht11.h", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 26, 68
