Date : 2024-10-20 17:03:15
Directory : e:\C&C++\project
Total : 397 files,  394373 codes, 90175 comments, 31843 blanks, all 516391 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| XML              |          3 |    268,004 |          0 |      1,008 |    269,012 |
| C                |        107 |     57,789 |     40,867 |     15,488 |    114,144 |
| C++              |        130 |     40,590 |     47,695 |     11,358 |     99,643 |
| Python           |         60 |     14,831 |        948 |      2,830 |     18,609 |
| YAML             |         66 |      5,120 |        436 |        487 |      6,043 |
| hex              |          1 |      3,220 |          0 |          1 |      3,221 |
| JSON             |          3 |      2,694 |          0 |          3 |      2,697 |
| Markdown         |          6 |      1,111 |          0 |        449 |      1,560 |
| ARM              |          3 |        509 |         52 |         98 |        659 |
| Shell Script     |          9 |        166 |         90 |         39 |        295 |
| toml             |          1 |        133 |          0 |         15 |        148 |
| Rust             |          1 |        114 |          2 |         14 |        130 |
| Batch            |          1 |         27 |          1 |          3 |         31 |
| Docker           |          2 |         25 |         46 |         29 |        100 |
| Makefile         |          2 |         18 |         12 |         14 |         44 |
| pip requirements |          1 |         17 |         26 |          7 |         50 |
| Database         |          1 |          5 |          0 |          0 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        397 |    394,373 |     90,175 |     31,843 |    516,391 |
| . (Files)                                                                                           |          2 |    180,457 |          0 |        687 |    181,144 |
| aliyun                                                                                              |          4 |        252 |         16 |         52 |        320 |
| aliyun (Files)                                                                                      |          3 |        138 |         14 |         38 |        190 |
| aliyun\server                                                                                       |          1 |        114 |          2 |         14 |        130 |
| aliyun\server\src                                                                                   |          1 |        114 |          2 |         14 |        130 |
| data_detail                                                                                         |          3 |         36 |         15 |         18 |         69 |
| data_get                                                                                            |          5 |        253 |         37 |         94 |        384 |
| rasp                                                                                                |          6 |     88,180 |         75 |        470 |     88,725 |
| sample                                                                                              |          1 |          4 |          3 |          2 |          9 |
| stm32                                                                                               |        239 |    101,484 |     88,553 |     26,806 |    216,843 |
| stm32 (Files)                                                                                       |          1 |         27 |          1 |          3 |         31 |
| stm32\Drivers                                                                                       |        182 |     83,105 |     71,715 |     22,623 |    177,443 |
| stm32\Drivers\BSP                                                                                   |         33 |      5,239 |      1,844 |      1,414 |      8,497 |
| stm32\Drivers\BSP\BEEP                                                                              |          2 |         25 |         33 |         39 |         97 |
| stm32\Drivers\BSP\DHT11                                                                             |          2 |        118 |         85 |         76 |        279 |
| stm32\Drivers\BSP\DMA                                                                               |          2 |         30 |         57 |         66 |        153 |
| stm32\Drivers\BSP\ESP8266                                                                           |          2 |        477 |        165 |         84 |        726 |
| stm32\Drivers\BSP\EXTI                                                                              |          2 |        147 |         76 |         71 |        294 |
| stm32\Drivers\BSP\KEY                                                                               |          2 |         76 |         44 |         69 |        189 |
| stm32\Drivers\BSP\LCD                                                                               |          4 |      2,828 |        432 |        391 |      3,651 |
| stm32\Drivers\BSP\LED                                                                               |          2 |         37 |         35 |         19 |         91 |
| stm32\Drivers\BSP\OV7725                                                                            |          5 |        721 |        197 |        223 |      1,141 |
| stm32\Drivers\BSP\SPI                                                                               |          2 |         80 |         56 |         53 |        189 |
| stm32\Drivers\BSP\SRAM                                                                              |          2 |        115 |         78 |         38 |        231 |
| stm32\Drivers\BSP\TIMER                                                                             |          6 |        585 |        586 |        285 |      1,456 |
| stm32\Drivers\CMSIS                                                                                 |         11 |     13,274 |      2,741 |      2,090 |     18,105 |
| stm32\Drivers\CMSIS\Device                                                                          |          5 |     10,575 |      1,136 |      1,137 |     12,848 |
| stm32\Drivers\CMSIS\Device\ST                                                                       |          5 |     10,575 |      1,136 |      1,137 |     12,848 |
| stm32\Drivers\CMSIS\Device\ST\STM32F1xx                                                             |          5 |     10,575 |      1,136 |      1,137 |     12,848 |
| stm32\Drivers\CMSIS\Device\ST\STM32F1xx\Include                                                     |          3 |     10,109 |        926 |      1,047 |     12,082 |
| stm32\Drivers\CMSIS\Device\ST\STM32F1xx\Source                                                      |          2 |        466 |        210 |         90 |        766 |
| stm32\Drivers\CMSIS\Device\ST\STM32F1xx\Source\Templates                                            |          2 |        466 |        210 |         90 |        766 |
| stm32\Drivers\CMSIS\Device\ST\STM32F1xx\Source\Templates (Files)                                    |          1 |        141 |        210 |         58 |        409 |
| stm32\Drivers\CMSIS\Device\ST\STM32F1xx\Source\Templates\arm                                        |          1 |        325 |          0 |         32 |        357 |
| stm32\Drivers\CMSIS\Include                                                                         |          6 |      2,699 |      1,605 |        953 |      5,257 |
| stm32\Drivers\STM32F1xx_HAL_Driver                                                                  |        132 |     64,275 |     66,843 |     18,938 |    150,056 |
| stm32\Drivers\STM32F1xx_HAL_Driver\Inc                                                              |         70 |     22,419 |     33,036 |      7,422 |     62,877 |
| stm32\Drivers\STM32F1xx_HAL_Driver\Inc (Files)                                                      |         67 |     19,268 |     31,996 |      6,903 |     58,167 |
| stm32\Drivers\STM32F1xx_HAL_Driver\Inc\Legacy                                                       |          3 |      3,151 |      1,040 |        519 |      4,710 |
| stm32\Drivers\STM32F1xx_HAL_Driver\Src                                                              |         62 |     41,856 |     33,807 |     11,516 |     87,179 |
| stm32\Drivers\STM32F1xx_HAL_Driver\Src (Files)                                                      |         61 |     40,917 |     33,215 |     11,333 |     85,465 |
| stm32\Drivers\STM32F1xx_HAL_Driver\Src\Legacy                                                       |          1 |        939 |        592 |        183 |      1,714 |
| stm32\Drivers\SYSTEM                                                                                |          6 |        317 |        287 |        181 |        785 |
| stm32\Drivers\SYSTEM\delay                                                                          |          2 |        110 |         92 |         96 |        298 |
| stm32\Drivers\SYSTEM\sys                                                                            |          2 |         71 |         98 |         38 |        207 |
| stm32\Drivers\SYSTEM\usart                                                                          |          2 |        136 |         97 |         47 |        280 |
| stm32\Middlewares                                                                                   |         48 |     14,526 |     16,539 |      4,013 |     35,078 |
| stm32\Middlewares\FreeRTOS                                                                          |         46 |     14,341 |     16,430 |      3,922 |     34,693 |
| stm32\Middlewares\FreeRTOS (Files)                                                                  |          7 |      7,567 |      2,984 |      1,754 |     12,305 |
| stm32\Middlewares\FreeRTOS\include                                                                  |         18 |      2,734 |     10,576 |        862 |     14,172 |
| stm32\Middlewares\FreeRTOS\portable                                                                 |         21 |      4,040 |      2,870 |      1,306 |      8,216 |
| stm32\Middlewares\FreeRTOS\portable\MemMang                                                         |          5 |        865 |        509 |        228 |      1,602 |
| stm32\Middlewares\FreeRTOS\portable\RVDS                                                            |         16 |      3,175 |      2,361 |      1,078 |      6,614 |
| stm32\Middlewares\FreeRTOS\portable\RVDS\ARM7_LPC21xx                                               |          3 |        248 |        213 |        110 |        571 |
